Start,End,,,MEPs,Duration,Time in Zone,Average Effort,Average Heart Rate,Calories,Peak Heart Rate,Date,Zone 0 Mins,Zone 1 Mins,Zone 2 Mins,Zone 3 Mins,Zone 4 Mins,Zone 5 Mins,Zone 0 MEPs,Zone 1 MEPs,Zone 2 MEPs,Zone 3 MEPs,Zone 4 MEPs,Zone 5 MEPs,Class,
12:13 PM,2:20 PM,Workout,7555676,219,115,61,63%,115,1121,162,2025-01-15,22,31,18,24,20,0,0,31,36,72,80,0,0

Time,hr
2025-01-15 12:13,84
2025-01-15 12:14,81
2025-01-15 12:15,104
2025-01-15 12:16,133
2025-01-15 12:17,136
2025-01-15 12:18,135
2025-01-15 12:19,117
2025-01-15 12:20,131
2025-01-15 12:21,138
2025-01-15 12:22,127
2025-01-15 12:23,118
2025-01-15 12:24,113
2025-01-15 12:25,116
2025-01-15 12:26,133
2025-01-15 12:27,144
2025-01-15 12:28,139
2025-01-15 12:29,139
2025-01-15 12:30,152
2025-01-15 12:31,158
2025-01-15 12:32,142
2025-01-15 12:33,145
2025-01-15 12:34,149
2025-01-15 12:35,146
2025-01-15 12:36,147
2025-01-15 12:37,148
2025-01-15 12:38,150
2025-01-15 12:39,146
2025-01-15 12:40,156
2025-01-15 12:41,158
2025-01-15 12:42,149
2025-01-15 12:43,134
2025-01-15 12:44,124
2025-01-15 12:45,119
2025-01-15 12:46,130
2025-01-15 12:47,145
2025-01-15 12:48,152
2025-01-15 12:49,142
2025-01-15 12:50,139
2025-01-15 12:51,152
2025-01-15 12:52,153
2025-01-15 12:53,136
2025-01-15 12:54,138
2025-01-15 12:55,134
2025-01-15 12:56,129
2025-01-15 12:57,137
2025-01-15 12:58,144
2025-01-15 12:59,152
2025-01-15 13:00,145
2025-01-15 13:01,151
2025-01-15 13:02,158
2025-01-15 13:03,141
2025-01-15 13:04,132
2025-01-15 13:05,137
2025-01-15 13:06,140
2025-01-15 13:07,130
2025-01-15 13:08,118
2025-01-15 13:09,113
2025-01-15 13:17,86
2025-01-15 13:23,94
2025-01-15 13:24,106
2025-01-15 13:25,103
2025-01-15 13:26,117
2025-01-15 13:27,124
2025-01-15 13:28,113
2025-01-15 13:29,106
2025-01-15 13:30,99
2025-01-15 13:31,95
2025-01-15 13:32,94
2025-01-15 13:33,86
2025-01-15 13:34,73
2025-01-15 13:35,72
2025-01-15 13:36,88
2025-01-15 13:37,83
2025-01-15 13:38,93
2025-01-15 13:39,93
2025-01-15 13:40,84
2025-01-15 13:41,81
2025-01-15 13:42,91
2025-01-15 13:43,104
2025-01-15 13:44,93
2025-01-15 13:45,88
2025-01-15 13:46,83
2025-01-15 13:47,81
2025-01-15 13:48,96
2025-01-15 13:49,90
2025-01-15 13:50,90
2025-01-15 13:51,85
2025-01-15 13:52,89
2025-01-15 13:53,88
2025-01-15 13:54,95
2025-01-15 13:55,101
2025-01-15 13:56,97
2025-01-15 13:57,95
2025-01-15 13:58,94
2025-01-15 13:59,89
2025-01-15 14:00,95
2025-01-15 14:01,97
2025-01-15 14:02,90
2025-01-15 14:03,92
2025-01-15 14:04,93
2025-01-15 14:05,95
2025-01-15 14:06,89
2025-01-15 14:07,83
2025-01-15 14:08,94
2025-01-15 14:09,106
2025-01-15 14:10,116
2025-01-15 14:11,108
2025-01-15 14:12,112
2025-01-15 14:13,112
2025-01-15 14:14,105
2025-01-15 14:15,99
2025-01-15 14:16,100
2025-01-15 14:17,91
2025-01-15 14:18,91
2025-01-15 14:19,96
2025-01-15 14:20,96

