Start,End,,,MEPs,Duration,Time in Zone,Average Effort,Average Heart Rate,Calories,Peak Heart Rate,Date,Zone 0 Mins,Zone 1 Mins,Zone 2 Mins,Zone 3 Mins,Zone 4 Mins,Zone 5 Mins,Zone 0 MEPs,Zone 1 MEPs,Zone 2 MEPs,Zone 3 MEPs,Zone 4 MEPs,Zone 5 MEPs,Class,
6:37 AM,7:31 AM,Workout,7555676,154,54,48,73%,134,742,167,2025-01-20,1,5,9,25,13,1,0,5,18,75,52,4,0

Time,hr
2025-01-20 06:37,84
2025-01-20 06:38,90
2025-01-20 06:39,102
2025-01-20 06:40,105
2025-01-20 06:41,107
2025-01-20 06:42,120
2025-01-20 06:43,139
2025-01-20 06:44,137
2025-01-20 06:45,130
2025-01-20 06:46,131
2025-01-20 06:47,139
2025-01-20 06:48,153
2025-01-20 06:49,158
2025-01-20 06:50,153
2025-01-20 06:51,134
2025-01-20 06:52,136
2025-01-20 06:53,142
2025-01-20 06:54,150
2025-01-20 06:55,159
2025-01-20 06:56,165
2025-01-20 06:57,153
2025-01-20 06:58,152
2025-01-20 06:59,156
2025-01-20 07:00,155
2025-01-20 07:01,151
2025-01-20 07:02,145
2025-01-20 07:03,135
2025-01-20 07:04,139
2025-01-20 07:05,136
2025-01-20 07:06,139
2025-01-20 07:07,152
2025-01-20 07:08,137
2025-01-20 07:09,124
2025-01-20 07:10,124
2025-01-20 07:11,131
2025-01-20 07:12,111
2025-01-20 07:13,106
2025-01-20 07:14,110
2025-01-20 07:15,118
2025-01-20 07:16,129
2025-01-20 07:17,141
2025-01-20 07:18,137
2025-01-20 07:19,138
2025-01-20 07:20,138
2025-01-20 07:21,145
2025-01-20 07:22,143
2025-01-20 07:23,137
2025-01-20 07:24,135
2025-01-20 07:25,122
2025-01-20 07:26,131
2025-01-20 07:27,141
2025-01-20 07:28,135
2025-01-20 07:30,114
2025-01-20 07:31,114

