Start,End,,,MEPs,Duration,Time in Zone,Average Effort,Average Heart Rate,Calories,Peak Heart Rate,Date,Zone 0 Mins,Zone 1 Mins,Zone 2 Mins,Zone 3 Mins,Zone 4 Mins,Zone 5 Mins,Zone 0 MEPs,Zone 1 MEPs,Zone 2 MEPs,Zone 3 MEPs,Zone 4 MEPs,Zone 5 MEPs,Class,
11:51 AM,12:38 PM,Workout,7555676,156,47,46,79%,133,642,165,2025-02-21,1,1,2,21,18,4,0,1,4,63,72,16,0

Time,hr
2025-02-21 11:51,105
2025-02-21 11:52,91
2025-02-21 11:53,130
2025-02-21 11:54,155
2025-02-21 11:55,135
2025-02-21 11:56,114
2025-02-21 11:57,119
2025-02-21 11:58,131
2025-02-21 11:59,123
2025-02-21 12:00,129
2025-02-21 12:01,137
2025-02-21 12:02,144
2025-02-21 12:03,142
2025-02-21 12:04,163
2025-02-21 12:05,158
2025-02-21 12:06,142
2025-02-21 12:07,138
2025-02-21 12:08,141
2025-02-21 12:09,139
2025-02-21 12:10,136
2025-02-21 12:11,147
2025-02-21 12:12,145
2025-02-21 12:13,150
2025-02-21 12:14,144
2025-02-21 12:15,149
2025-02-21 12:16,136
2025-02-21 12:17,125
2025-02-21 12:18,133
2025-02-21 12:19,140
2025-02-21 12:20,128
2025-02-21 12:21,131
2025-02-21 12:22,132
2025-02-21 12:23,124
2025-02-21 12:24,122
2025-02-21 12:25,129
2025-02-21 12:26,127
2025-02-21 12:27,121
2025-02-21 12:28,120
2025-02-21 12:29,122
2025-02-21 12:30,124
2025-02-21 12:31,134
2025-02-21 12:32,135
2025-02-21 12:33,122
2025-02-21 12:34,132
2025-02-21 12:35,136
2025-02-21 12:36,134
2025-02-21 12:37,135
2025-02-21 12:38,120

